"List","Speciality","Date list cleared","List size at 2024-03-30","Difference from 2023-02-14"
">52","Gastroenterology",NA,185,"+428.57 %"
">52","Vascular Surgery",NA,95,"+331.82 %"
">52","Colorectal Surgery",NA,31,"+210 %"
">52","ENT",NA,53,"+165 %"
">52","Trauma & Orthopaedics",NA,276,"+142.11 %"
">52","Ophthalmology",NA,27,"+125 %"
">52","General Surgery",NA,31,"+121.43 %"
">52","Urology",NA,43,"+48.28 %"
">52","Oral Surgery",NA,5,"+0 %"
">52","Gynaecology",NA,30,"-41.18 %"
">52","Breast Surgery",2023-07-14,NA,NA
">52","Cardiology",2023-02-14,NA,NA
">52","Paediatric Dentistry",2023-03-11,NA,NA
">52","Pain Management",2023-08-05,NA,NA
">52","Plastic Surgery",2023-01-17,NA,NA
">52","Thoracic Medicine",2023-06-05,NA,NA
